"appid","max_discount","has_discount","first_discount_date"
"32510",75,TRUE,"2019-05-02"
"325610",75,TRUE,"2019-06-25"
"327030",75,TRUE,"2019-05-20"
"327400",75,TRUE,"2019-05-13"
"327860",75,TRUE,"2019-04-15"
"331600",75,TRUE,"2019-04-29"
"332310",75,TRUE,"2019-04-18"
"33340",75,TRUE,"2019-05-20"
"335300",75,TRUE,"2019-04-29"
"339340",75,TRUE,"2019-06-25"
"339800",75,TRUE,"2019-06-25"
"34030",75,TRUE,"2019-06-25"
"342310",75,TRUE,"2019-05-13"
"34440",75,TRUE,"2019-05-06"
"34460",75,TRUE,"2019-05-06"
"345240",75,TRUE,"2019-06-25"
"345260",75,TRUE,"2019-06-25"
"346940",75,TRUE,"2019-04-15"
"35140",75,TRUE,"2019-05-20"
"351970",75,TRUE,"2019-04-29"
"352400",75,TRUE,"2019-04-18"
"35450",75,TRUE,"2019-05-14"
"355790",75,TRUE,"2019-06-25"
"356570",75,TRUE,"2019-05-09"
"357310",75,TRUE,"2019-04-09"
"359310",75,TRUE,"2019-05-22"
"360430",75,TRUE,"2019-04-15"
"362680",75,TRUE,"2019-06-16"
"363680",75,TRUE,"2019-05-16"
"364360",75,TRUE,"2019-05-16"
"365590",75,TRUE,"2019-06-25"
"366220",75,TRUE,"2019-05-20"
"369990",75,TRUE,"2019-06-25"
"370360",75,TRUE,"2019-06-04"
"3720",75,TRUE,"2019-04-11"
"372360",75,TRUE,"2019-04-29"
"373930",75,TRUE,"2019-06-25"
"375910",75,TRUE,"2019-05-20"
"377160",75,TRUE,"2019-05-16"
"378540",75,TRUE,"2019-04-12"
"378720",75,TRUE,"2019-04-07"
"383150",75,TRUE,"2019-04-18"
"383180",75,TRUE,"2019-04-18"
"383580",75,TRUE,"2019-05-24"
"383870",75,TRUE,"2019-06-25"
"38400",75,TRUE,"2019-05-16"
"38410",75,TRUE,"2019-05-16"
"384490",75,TRUE,"2019-04-07"
"386070",75,TRUE,"2019-06-25"
"386620",75,TRUE,"2019-04-29"
"387290",75,TRUE,"2019-06-25"
"388080",75,TRUE,"2019-06-25"
"388660",75,TRUE,"2019-04-15"
"388880",75,TRUE,"2019-05-09"
"389730",75,TRUE,"2019-04-29"
"3900",75,TRUE,"2019-05-06"
"391040",75,TRUE,"2019-05-30"
"3920",75,TRUE,"2019-04-22"
